"02-10-1996"
"wank wank wank    ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"home Sol          ","1.3  ","y"
"Sol home          ","1.3  ","y"
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"home EBH          ","6.4  ","n"
"EBH Sol           ","6.4  ","n"
"Sol home          ","1.3  ","Y"
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"home EBH          ","6.4  ","n"
"EBH home          ","6.4  ","n"
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"                  ","     "," "
"home BCC          ","8.5  ","n"
"BCC EBH           ","4.4  ","n"
"EBH Sol           ","6.4  ","N"
"Sol home          ","1.3  ","y"
"                  ","     "," "
"                  ","     "," "
